code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
920981,2026-04-22,2.92,,37.1121,,34.16
688820,2026-04-22,-8.61,,41.5027,,525.9866
300067,2026-04-22,1.34,,16.8457,,-34.851
301003,2026-04-22,3.23,,14.046,,34.067
688048,2026-04-22,0.86,,10.1743,,30.0253
300857,2026-04-22,2.23,,48.837,,8.7518
300890,2026-04-22,3.06,,51.5655,,81.7471
688401,2026-04-22,3.01,,58.1055,,1469.3651
688628,2026-04-22,5.24,,18.9376,,11.6123
301396,2026-04-22,2.26,,54.2727,,213.3982
301607,2026-04-22,8.57,,70.085,,50.5258
688268,2026-04-22,2.74,,23.9385,,40.7636
300698,2026-04-22,-2.62,,53.1531,,-138.6167
688661,2026-04-22,3.27,,15.33,,-43.0865
300382,2026-04-22,3.12,,47.6208,,178.8727
688143,2026-04-22,9.01,,24.748,,52.4738
301345,2026-04-22,1.7,,46.0257,,-16.9849
300903,2026-04-22,1.51,,67.3521,,30.0868
300321,2026-04-22,0.31,,23.7789,,-41.8713
688530,2026-04-22,6.38,,38.2757,,-30.0278
301629,2026-04-22,12.55,,50.647,,18.3377
920045,2026-04-22,18.08,,42.5463,,347.2059
300489,2026-04-22,-6.98,,85.7354,,-544.3088
300044,2026-04-22,0.42,,54.9102,,130.3997
920003,2026-04-22,23.77,,45.2267,,31.5294
301235,2026-04-22,-0.56,,18.3589,,113.1152
920719,2026-04-22,6.21,,56.6796,,-11.7862
300616,2026-04-22,-2.88,,53.5361,,-1558.2929
688069,2026-04-22,0.21,,14.0882,,-92.3142
688551,2026-04-22,0.76,,17.5239,,-44.019
300720,2026-04-22,1.38,,8.4852,,-43.1819
688229,2026-04-22,-3.08,,5.6531,,
688288,2026-04-22,-1.68,,15.0604,,-176.2993
688648,2026-04-22,1.39,,51.1125,,-15.5671
688020,2026-04-22,-0.79,,14.6279,,-154.3037
301188,2026-04-22,2.25,,10.0125,,28.202
688226,2026-04-22,1.69,,39.1202,,6.3174
301278,2026-04-22,5.1,,53.0462,,85.4284
300776,2026-04-22,3.87,,37.6487,,26.3672
000751,2026-04-22,0.55,,62.7344,,-53.9962
002397,2026-04-22,-0.58,,54.303,,-123.2496
603318,2026-04-22,1.23,,59.4153,,14.9637
600052,2026-04-22,-0.77,,5.8537,,23.9616
000990,2026-04-22,0.82,,26.0175,,-44.8805
600683,2026-04-22,0.75,,79.6175,,-49.7416
605365,2026-04-22,3.19,,48.2862,,8.4596
600234,2026-04-22,-3.26,,37.9194,,-516.0743
002194,2026-04-22,4.42,,20.4495,,41.2053
002081,2026-04-22,4.3,,65.5611,,2.3487
601512,2026-04-22,4.67,,44.2759,,3.7709
603637,2026-04-22,1.62,,38.7839,,39.5725
603618,2026-04-22,0.93,,68.6667,,21.6406
601061,2026-04-22,12.13,,71.0873,,1.6532
002360,2026-04-22,1.38,,28.1003,,9.3399
600703,2026-04-22,1.39,,37.4609,,-22.9387
000811,2026-04-22,1.07,,47.4612,,7.5179
002938,2026-04-22,2.43,,28.6222,,69.2377
003018,2026-04-22,1.88,,10.3416,,12.5376
000062,2026-04-22,3.63,,58.1337,,-2.6486
001234,2026-04-22,2.94,,10.1058,,17.1761
603606,2026-04-22,5.35,,40.3768,,0.1643
603115,2026-04-22,3.13,,15.5055,,109.8981
600105,2026-04-22,0.5,,57.6156,,-86.8582
605376,2026-04-22,2.63,,10.588,,-18.2292
002636,2026-04-22,0.46,,44.0259,,-93.6216
605588,2026-04-22,2.32,,31.5298,,-3.2655
002384,2026-04-22,2.43,,59.2986,,49.0318
002796,2026-04-22,-1.88,,43.6658,,-413.4348
600446,2026-04-22,-1.1,,43.4739,,-295.0383
600487,2026-04-22,1.63,,52.734,,43.0433
603773,2026-04-22,0.15,,40.7575,,-32.593
600184,2026-04-22,0.82,,44.0925,,29.4335
600641,2026-04-22,0.36,,20.2282,,-88.4809
002256,2026-04-22,-3.07,,40.0,,-12.4537
002428,2026-04-22,0.59,,34.7567,,-26.8193
002432,2026-04-22,83.14,,11.4131,,69023.0922
600330,2026-04-22,2.18,,36.5199,,4.7834
600869,2026-04-22,2.26,,78.1365,,-24.4709
603906,2026-04-22,8.74,,63.2333,,333.029
603496,2026-04-22,1.84,,25.7933,,11.0327
002588,2026-04-22,2.88,,40.4653,,46.7795
002201,2026-04-22,1.0,,57.3454,,-10.9422
600815,2026-04-22,-0.15,,50.4188,,-87.7682
603903,2026-04-22,1.27,,53.8798,,-22.4636
002443,2026-04-22,1.55,,25.9375,,-35.0942
600126,2026-04-22,1.87,,32.6497,,8.3344
600736,2026-04-22,0.51,,75.3661,,-47.2507
600396,2026-04-22,557.22,,101.1323,,-3387.5699
002418,2026-04-22,-0.72,,51.5881,,-147.0635
301230,2026-04-22,2.87,,35.4587,,-8.7007
301106,2026-04-22,1.97,,16.1166,,10.9573
300901,2026-04-22,1.04,,9.6897,,-45.1734
301365,2026-04-22,4.27,,35.8142,,-20.2639
301191,2026-04-22,11.76,,52.2513,,81.1756
600961,2026-04-22,13.52,,85.4106,,-29.7343
300567,2026-04-22,0.85,,41.0178,,-61.9701
688382,2026-04-22,-20.93,,17.358,,
301393,2026-04-22,8.58,,18.7966,,48.4653
301631,2026-04-22,16.4,,62.3462,,66.3709
601138,2026-04-22,2.66,,54.0785,,2.0489
688678,2026-04-22,2.68,,23.2023,,49.7016
300030,2026-04-22,-3.92,,44.48,,-212.608
301577,2026-04-22,10.64,,52.0404,,10.1498
688809,2026-04-22,1.82,,8.0632,,19.4296
688511,2026-04-22,2.7,,7.8824,,-18.147
688279,2026-04-22,8.3,,16.9352,,9.1713
688172,2026-04-22,2.93,,21.7824,,29.1108
300018,2026-04-22,-2.0,,10.7412,,-108.6577
920207,2026-04-22,0.35,,55.8818,,-6.8351
300981,2026-04-22,0.93,,8.124,,-95.6135
